State;decade;tornado_count;total_deaths;total_injuries;occ_state_tot
47;1970;166;64;1288;1429
47;1980;112;8;142;1429
47;1990;216;35;754;1429
47;2000;283;122;817;1429
47;2010;334;44;589;1429
47;2020;154;109;1144;1429
48;1950;627;216;1903;9412
48;1960;1185;37;781;9412
48;1970;1442;194;5107;9412
48;1980;1413;78;1311;9412
48;1990;1695;53;675;9412
48;2000;1473;32;499;9412
48;2010;1195;31;958;9412
48;2020;382;17;341;9412
49;1950;7;0;0;135
49;1960;20;0;1;135
49;1970;6;0;1;135
49;1980;24;0;0;135
49;1990;35;1;91;135
49;2000;24;0;0;135
49;2010;14;0;5;135
49;2020;5;0;0;135
50;1950;5;0;0;52
50;1960;15;0;3;52
50;1970;5;0;7;52
50;1980;7;0;0;52
50;1990;2;0;0;52
50;2000;8;0;0;52
50;2010;6;0;0;52
50;2020;4;0;2;52
51;1950;42;12;32;825
51;1960;41;3;27;825
51;1970;82;3;95;825
51;1980;55;0;25;825
51;1990;130;9;318;825
51;2000;245;0;269;825
51;2010;181;11;177;825
51;2020;49;0;8;825
53;1950;7;0;0;133
53;1960;8;0;1;133
53;1970;15;6;301;133
53;1980;19;0;1;133
53;1990;23;0;0;133
53;2000;32;0;0;133
53;2010;20;0;0;133
53;2020;9;0;0;133
54;1950;8;0;14;161
54;1960;20;0;11;161
54;1970;29;1;48;161
54;1980;19;1;41;161
54;1990;29;0;7;161
54;2000;17;0;7;161
54;2010;32;1;14;161
54;2020;7;0;1;161
55;1950;102;54;288;1543
55;1960;193;7;398;1543
55;1970;191;5;158;1543
55;1980;244;22;480;1543
55;1990;195;7;174;1543
55;2000;256;4;124;1543
55;2010;251;3;64;1543
55;2020;111;0;3;1543
56;1950;39;1;4;743
56;1960;70;0;17;743
56;1970;135;1;49;743
56;1980;112;0;11;743
56;1990;159;0;0;743
56;2000;82;2;19;743
56;2010;118;0;7;743
56;2020;28;0;9;743
72;1950;1;0;0;32
72;1960;4;0;1;32
72;1970;2;0;0;32
72;1990;5;0;0;32
72;2000;9;0;0;32
72;2010;7;0;0;32
72;2020;4;0;0;32
78;2010;1;0;0;1
